hp,lp,sum,accel,gyro
-0.396029,0.197993,-0.198036,-0.212432,-0.179174
-0.383692,0.190050,-0.193643,-0.199192,-0.174668
-0.372469,0.182417,-0.190052,-0.191593,-0.171046
-0.362253,0.174821,-0.187432,-0.197384,-0.168223
-0.352868,0.167085,-0.185783,-0.211947,-0.166039
-0.343921,0.159085,-0.184836,-0.232936,-0.164111
-0.335143,0.151272,-0.183870,-0.231548,-0.162172
-0.326749,0.144212,-0.182537,-0.201746,-0.160446
-0.319055,0.137698,-0.181357,-0.181484,-0.159264
-0.312340,0.131446,-0.180894,-0.174912,-0.158923
-0.306469,0.125286,-0.181182,-0.176527,-0.159306
-0.301049,0.119033,-0.182016,-0.187379,-0.160031
-0.295863,0.112886,-0.182977,-0.188315,-0.160883
-0.290656,0.106905,-0.183751,-0.186145,-0.161607
-0.285334,0.101214,-0.184119,-0.177651,-0.162108
-0.279658,0.095898,-0.183760,-0.164580,-0.162140
-0.273439,0.090676,-0.182762,-0.165208,-0.161501
-0.266665,0.085568,-0.181097,-0.164731,-0.160169
-0.259463,0.080638,-0.178825,-0.160933,-0.158262
-0.252040,0.075571,-0.176469,-0.172715,-0.155983
-0.244431,0.070547,-0.173884,-0.175641,-0.153362
-0.236870,0.065626,-0.171244,-0.175508,-0.150635
-0.229648,0.061043,-0.168604,-0.163505,-0.148100
-0.222988,0.056474,-0.166514,-0.167434,-0.145991
-0.216878,0.052086,-0.164793,-0.162922,-0.144307
-0.211163,0.047909,-0.163254,-0.156755,-0.142901
-0.205666,0.043641,-0.162025,-0.165497,-0.141602
-0.200102,0.039339,-0.160763,-0.171447,-0.140121
-0.194450,0.035167,-0.159283,-0.169257,-0.138438
-0.188703,0.031365,-0.157337,-0.154918,-0.136542
-0.182987,0.027031,-0.155956,-0.185351,-0.134560
-0.177553,0.024352,-0.153200,-0.106917,-0.132749
-0.172770,0.020491,-0.152278,-0.168677,-0.131492
-0.168510,0.016439,-0.152071,-0.182117,-0.130672
-0.164587,0.013636,-0.150951,-0.123745,-0.130107
-0.160951,0.009641,-0.151310,-0.186106,-0.129756
-0.157596,0.006035,-0.151561,-0.170653,-0.129617
-0.154580,0.002470,-0.152109,-0.172188,-0.129756
-0.151874,-0.000728,-0.152603,-0.157460,-0.130150
-0.149442,-0.003816,-0.153259,-0.155138,-0.130768
-0.147205,-0.006813,-0.154018,-0.153656,-0.131535
-0.144940,-0.009647,-0.154586,-0.148497,-0.132227
-0.142521,-0.012445,-0.154966,-0.149572,-0.132717
-0.139911,-0.015109,-0.155019,-0.145610,-0.132962
-0.137060,-0.018028,-0.155088,-0.161074,-0.132909
-0.133902,-0.020756,-0.154657,-0.154424,-0.132483
